xtf_id,DE,FR,IT
facilityType_small,Kleine Einzelanlage,Petite éolienne,Piccola turbina eolica
facilityType_medium,Mittlere Einzelanlage,Moyenne éolienne,Media turbina eolica
facilityType_big,Grosse Einzelanlage,Grande éolienne,Grande turbina eolica
facilityType_windpark,Windpark,Parc éolien,Parco eolico
